faq_id,department,category,intent,language,question,answer,required_information,action,source,last_verified,dynamic_data_required,source_url,source_url_2,contact_person,contact_designation,contact_mobile,alt_contact_person,alt_contact_designation,alt_contact_mobile,office_address,office_phone,escalation_helpline,website
PWD-001,PWD,Roads,damaged_road,Complaint,Where should I complain about a damaged road?,"A damaged municipal road can be treated as a Public Works issue. Provide the exact location, nearest landmark, ward or zone if known, a description of the damage, and a photograph if the complaint channel supports attachments. You can directly contact Mr. Srikant Kate (Executive Engineer, PWD Department (also Bridge Cell, CTPT)) at 7974162847, or visit IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007 in person to file a written complaint. To lodge it online, use https://imcindore.mp.gov.in/, or call the CM Helpline at 181.",None for general information,Inform,Official IMC; M.P. municipal framework,2026-08-18,No,https://www.imcindore.mp.gov.in/adt-commissioner,https://www.imcindore.mp.gov.in/,Mr. Srikant Kate,"Executive Engineer, PWD Department (also Bridge Cell, CTPT)",7974162847.0,Mr. Neeraj Anand Likhar,"Chief City Engineer, IMC",9179089333.0,"IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007",0731-2535555,CM Helpline: 181 | IMC Toll-Free: 1800-233-5522,https://imcindore.mp.gov.in/
PWD-002,PWD,Roads,pothole,Complaint,How do I report a pothole?,"Report the pothole through the applicable IMC grievance channel with the precise location and nearest landmark. Attach a clear photograph if supported. You can directly contact Mr. Srikant Kate (Executive Engineer, PWD Department (also Bridge Cell, CTPT)) at 7974162847, or visit IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007 in person to file a written complaint. To lodge it online, use https://imcindore.mp.gov.in/, or call the CM Helpline at 181.",None for general information,Inform,Official IMC; M.P. municipal framework,2026-08-18,No,https://www.imcindore.mp.gov.in/adt-commissioner,https://www.imcindore.mp.gov.in/,Mr. Srikant Kate,"Executive Engineer, PWD Department (also Bridge Cell, CTPT)",7974162847.0,Mr. Neeraj Anand Likhar,"Chief City Engineer, IMC",9179089333.0,"IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007",0731-2535555,CM Helpline: 181 | IMC Toll-Free: 1800-233-5522,https://imcindore.mp.gov.in/
PWD-003,PWD,Roads,road_repair,Complaint,My road is broken. Which department should I contact?,"If the issue concerns a municipal road or road civil work, route it to PWD/Public Works, subject to jurisdiction. You can directly contact Mr. Srikant Kate (Executive Engineer, PWD Department (also Bridge Cell, CTPT)) at 7974162847, or visit IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007 in person to file a written complaint. To lodge it online, use https://imcindore.mp.gov.in/, or call the CM Helpline at 181.",None for general information,Inform,Official IMC; M.P. municipal framework,2026-08-18,No,https://www.imcindore.mp.gov.in/adt-commissioner,https://www.imcindore.mp.gov.in/,Mr. Srikant Kate,"Executive Engineer, PWD Department (also Bridge Cell, CTPT)",7974162847.0,Mr. Neeraj Anand Likhar,"Chief City Engineer, IMC",9179089333.0,"IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007",0731-2535555,CM Helpline: 181 | IMC Toll-Free: 1800-233-5522,https://imcindore.mp.gov.in/
PWD-004,PWD,Roads,road_construction,Inform,Who handles road construction in IMC?,"Municipal road construction and related public civil works fall within the Public Works portfolio, subject to the particular project and IMC's administrative allocation. You can directly contact Mr. Srikant Kate (Executive Engineer, PWD Department (also Bridge Cell, CTPT)) at 7974162847, or visit IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007 in person to file a written complaint. To lodge it online, use https://imcindore.mp.gov.in/, or call the CM Helpline at 181.",None for general information,Inform,Official IMC; M.P. municipal framework,2026-08-18,No,https://www.imcindore.mp.gov.in/adt-commissioner,https://www.imcindore.mp.gov.in/,Mr. Srikant Kate,"Executive Engineer, PWD Department (also Bridge Cell, CTPT)",7974162847.0,Mr. Neeraj Anand Likhar,"Chief City Engineer, IMC",9179089333.0,"IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007",0731-2535555,CM Helpline: 181 | IMC Toll-Free: 1800-233-5522,https://imcindore.mp.gov.in/
PWD-005,PWD,Roads,incomplete_work,Complaint,Can I complain about incomplete road construction?,"Yes. Treat an incomplete municipal road-work complaint as a Public Works issue. Collect the location, project or road name if known, description of incomplete work, and photographs if available. You can directly contact Mr. Srikant Kate (Executive Engineer, PWD Department (also Bridge Cell, CTPT)) at 7974162847, or visit IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007 in person to file a written complaint. To lodge it online, use https://imcindore.mp.gov.in/, or call the CM Helpline at 181.",None for general information,Inform,Official IMC; M.P. municipal framework,2026-08-18,No,https://www.imcindore.mp.gov.in/adt-commissioner,https://www.imcindore.mp.gov.in/,Mr. Srikant Kate,"Executive Engineer, PWD Department (also Bridge Cell, CTPT)",7974162847.0,Mr. Neeraj Anand Likhar,"Chief City Engineer, IMC",9179089333.0,"IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007",0731-2535555,CM Helpline: 181 | IMC Toll-Free: 1800-233-5522,https://imcindore.mp.gov.in/
PWD-006,PWD,Roads,poor_quality,Complaint,How can I complain about poor-quality road work?,"Route the observation to the appropriate IMC grievance/Public Works channel. The chatbot should record the citizen's observation and should not declare a contractor at fault. You can directly contact Mr. Srikant Kate (Executive Engineer, PWD Department (also Bridge Cell, CTPT)) at 7974162847, or visit IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007 in person to file a written complaint. To lodge it online, use https://imcindore.mp.gov.in/, or call the CM Helpline at 181.",None for general information,Inform,Official IMC; M.P. municipal framework,2026-08-18,No,https://www.imcindore.mp.gov.in/adt-commissioner,https://www.imcindore.mp.gov.in/,Mr. Srikant Kate,"Executive Engineer, PWD Department (also Bridge Cell, CTPT)",7974162847.0,Mr. Neeraj Anand Likhar,"Chief City Engineer, IMC",9179089333.0,"IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007",0731-2535555,CM Helpline: 181 | IMC Toll-Free: 1800-233-5522,https://imcindore.mp.gov.in/
PWD-007,PWD,Roads,repair_timeline,Status,When will my road be repaired?,"Do not promise a repair date unless a current official IMC work schedule or status source provides one. Otherwise provide the complaint-registration or status route. You can directly contact Mr. Srikant Kate (Executive Engineer, PWD Department (also Bridge Cell, CTPT)) at 7974162847, or visit IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007 in person to file a written complaint. To lodge it online, use https://imcindore.mp.gov.in/, or call the CM Helpline at 181.",None for general information,Inform,Official IMC; M.P. municipal framework,2026-08-18,No,https://www.imcindore.mp.gov.in/adt-commissioner,https://www.imcindore.mp.gov.in/,Mr. Srikant Kate,"Executive Engineer, PWD Department (also Bridge Cell, CTPT)",7974162847.0,Mr. Neeraj Anand Likhar,"Chief City Engineer, IMC",9179089333.0,"IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007",0731-2535555,CM Helpline: 181 | IMC Toll-Free: 1800-233-5522,https://imcindore.mp.gov.in/
PWD-008,PWD,Roads,construction_timeline,Status,When will road construction start or finish?,"Only provide dates retrieved from a current official IMC notice, tender, work order, project-status record, or other verified municipal source. You can directly contact Mr. Srikant Kate (Executive Engineer, PWD Department (also Bridge Cell, CTPT)) at 7974162847, or visit IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007 in person to file a written complaint. To lodge it online, use https://imcindore.mp.gov.in/, or call the CM Helpline at 181.",None for general information,Inform,Official IMC; M.P. municipal framework,2026-08-18,No,https://www.imcindore.mp.gov.in/adt-commissioner,https://www.imcindore.mp.gov.in/,Mr. Srikant Kate,"Executive Engineer, PWD Department (also Bridge Cell, CTPT)",7974162847.0,Mr. Neeraj Anand Likhar,"Chief City Engineer, IMC",9179089333.0,"IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007",0731-2535555,CM Helpline: 181 | IMC Toll-Free: 1800-233-5522,https://imcindore.mp.gov.in/
PWD-009,PWD,Projects,contractor,Status,Who is the contractor for a road project?,"Provide the contractor only when a current official tender or work-order record identifies the contractor. Do not infer it from an old or unofficial source. You can directly contact Mr. Srikant Kate (Executive Engineer, PWD Department (also Bridge Cell, CTPT)) at 7974162847, or visit IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007 in person to file a written complaint. To lodge it online, use https://imcindore.mp.gov.in/, or call the CM Helpline at 181.",None for general information,Inform,Official IMC; M.P. municipal framework,2026-08-18,No,https://www.imcindore.mp.gov.in/adt-commissioner,https://www.imcindore.mp.gov.in/,Mr. Srikant Kate,"Executive Engineer, PWD Department (also Bridge Cell, CTPT)",7974162847.0,Mr. Neeraj Anand Likhar,"Chief City Engineer, IMC",9179089333.0,"IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007",0731-2535555,CM Helpline: 181 | IMC Toll-Free: 1800-233-5522,https://imcindore.mp.gov.in/
PWD-010,PWD,Projects,tender,Inform,How can I check an IMC road tender?,"Use official IMC tender information and/or the Madhya Pradesh e-procurement system when a tender number, project or department is available. You can directly contact Mr. Srikant Kate (Executive Engineer, PWD Department (also Bridge Cell, CTPT)) at 7974162847, or visit IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007 in person to file a written complaint. To lodge it online, use https://imcindore.mp.gov.in/, or call the CM Helpline at 181.",None for general information,Inform,Official IMC; M.P. municipal framework,2026-08-18,No,https://www.imcindore.mp.gov.in/adt-commissioner,https://www.imcindore.mp.gov.in/,Mr. Srikant Kate,"Executive Engineer, PWD Department (also Bridge Cell, CTPT)",7974162847.0,Mr. Neeraj Anand Likhar,"Chief City Engineer, IMC",9179089333.0,"IMC Head Office, Nagar Nigam Square, Netaji Subhash Marg, Shivaji Market, Indore - 452007",0731-2535555,CM Helpline: 181 | IMC Toll-Free: 1800-233-5522,https://imcindore.mp.gov.in/
