Section,Question,Answer
SECTION B --- Complaint Procedure FAQs,How to register a complaint (Complaint kaise register karu --- sabse aasan tarika kya hai?,"Three main routes: (1) Indore 311 app/web portal --- fastest, gives a tracking number instantly; (2) toll-free helpline call; (3) in person at your ward/zone office. The chatbot can guide you to the right one and, where possible, help you draft the complaint text with the right department tag."
SECTION B --- Complaint Procedure FAQs,What happens when the complaint is filed? (Complaint file karne ke baad kya hota hai?,"You get a registration/tracking number. It's routed to the relevant department/zone. There's a defined resolution timeline (SLA) depending on complaint type --- sanitation/safety issues are typically faster-tracked than infrastructure requests. A field team is assigned, and historically the system does a follow-up call to confirm resolution."
SECTION B --- Complaint Procedure FAQs,To track my complaint status (Meri complaint ka status kaise check karu?,"Using your tracking/registration number on the Indore 311 app or portal, or via the helpline. Keep your registration number safe --- the bot should always surface it clearly right after a complaint is logged."
SECTION B --- Complaint Procedure FAQs,"what should be done if my complaint has been pending from days (Complaint 2 hafte se pending hai, kuch nahi hua --- ab kya karu?","Escalate. If the normal channel hasn't resolved it within its SLA, escalate to the Nodal Grievance Officer / Mayor's grievance cell, and if still unresolved, to the CM Helpline (Madhya Pradesh) or the state Department of Local Bodies. The chatbot should proactively offer this escalation path once a complaint is significantly overdue, rather than making the citizen ask."
SECTION B --- Complaint Procedure FAQs,If no action has been taken on the complaint filed. (Complaint band ho gayi but kaam nahi hua --- kya karu?,"You can reopen/reject the closure --- most systems allow marking ""not satisfied"" against a closed complaint, which reopens it or flags it for supervisor review. Ask for this option explicitly if the app doesn't show it clearly."
SECTION B --- Complaint Procedure FAQs,What is the charge of filing a complaint. (Complaint karne ke liye kya paisa lagta hai?,"No --- filing a grievance/complaint is free. (Applications like new water connection, building permission, or trade license do involve official fees, which is a different flow --- the bot should be clear about this distinction so citizens don't assume complaints cost money."
SECTION B --- Complaint Procedure FAQs,Complaint anonymous kar sakte hain kya?,"Generally no --- a valid contact number is needed so the field team can verify resolution and for follow-up. However, personal details are used only for grievance handling, not shared publicly."
SECTION B --- Complaint Procedure FAQs,"I do not know the correct department for my issue. (Mujhe pata nahi kis department ka issue hai, sirf problem pata hai","That's exactly what the chatbot is for --- describe the problem in your own words (even in Hindi/Hinglish), and it will identify the right department and complaint category for you."
SECTION B --- Complaint Procedure FAQs,Ek hi complaint mein 2 alag problems bata sakte hain? (jaise streetlight aur garbage dono,"Better to file them separately, since they go to different departments and get tracked/resolved independently --- a combined complaint often only gets actioned for one issue."
SECTION B --- Complaint Procedure FAQs,Complaint karne ke baad koi call/visit karega kya?,For many complaint types yes --- a field verification or resolution-confirmation call is standard. Make sure your registered number is reachable.
SECTION E --- Meta FAQs About IMC Saathi Itself,What this chatbot can do ? ( Yeh chatbot kya kar sakta hai?,"IMC Saathi can help you (1) figure out which IMC department handles your issue, (2) guide you step-by-step to file a complaint or application, (3) explain required documents/fees, and (4) tell you how to check status or escalate a pending complaint."
SECTION E --- Meta FAQs About IMC Saathi Itself,Will this Chabot will file my complaint? (Kya yeh bot khud meri complaint register kar dega?,"Depending on integration, it can either guide you to the right portal/app to file it, or (if integrated with the backend) file it directly and give you a tracking number."
SECTION E --- Meta FAQs About IMC Saathi Itself,Can this bot can chat in hindi. (Bot Hindi mein baat kar sakta hai?,"Yes --- citizens should be able to type in Hindi, English, or mixed Hinglish, and get a response in the same style."
SECTION E --- Meta FAQs About IMC Saathi Itself,What if the bot cannot understand my concerns? (Agar bot mera sawaal samajh nahi paaya to kya hoga?,It should offer to connect you to a human agent / ward office contact / helpline number rather than leaving the query unresolved.
SECTION E --- Meta FAQs About IMC Saathi Itself,Is the bot safe or properly encrypted? (Meri personal details safe hain kya bot use karte waqt?,"The bot should only collect what's needed for the complaint (name, contact, location) and state clearly that this is used only for grievance processing --- this should be stated upfront, not buried."
