"Category","Question","Answer"
"Housing and Rental","How can I pay my property tax online?","Log in to the e-Nagar Palika portal, go to your dashboard/""Meri Sampattiyan,"" select the property, click Pay Tax, choose the financial year, verify the property details and calculated tax, then pay using Net Banking, Card or UPI. After successful payment, you can download the digital receipt/challan."
"Housing and Rental","I have a new property that isn't registered for property tax. What should I do?","The official Nagar Parishad Makronia website lists ""New Property Application"" under Citizen Services. Similarly, the Nagar Parishad Chhatarpur portal lists the same service. Use the New Property Application option. Enter owner and property details, upload required documents such as ownership proof, identity/address proof and property map/approval, and submit the application. The municipality verifies it and, after successful verification, a Property ID is allotted."
"Housing and Rental","What documents are required to register a new property?","The manual lists ownership proof (Sale Deed/Title Deed), identity and address proof, property map/approval letter, and other documents required according to local rules."
"Housing and Rental","How can I transfer my property to another person's name?","On IMC website Go to Property Transfer, select the type of transfer, enter the current and new owner's details and reason for transfer, upload the required documents, and submit the application. The municipal authority verifies the documents and updates the property record after approval."
"Housing and Rental","What documents are needed for property transfer?","Depending on the case, documents include a sale/transfer deed, NOC if required, death certificate for inheritance, legal-heir certificate, new owner's identity/address proof, and the latest property-tax payment receipt."
"Housing and Rental","How can i check the status of my property tax application?","Select Track Application enter the application number along with your registered mobile number or email. The system can and show whether the application is submitted, under scrutiny, approved or rejected."
"Housing and Rental","How can i pay my shop rent online?","Select Shop Rent under Quick Payments, enter your Rental ID or mobile number, and click Search. Your consumer details will appear. You can view the rental details and then click Pay to complete the payment through the available payment gateway."
"Food and Civil Supplies","How can I get a ration card?","1. Visit the Madhya Pradesh Government's official website. 2. Go to the ""Online Services"" option under the Public Service Agency menu. 3. From the list of services, select ""New BPL Issuing ration card."" 4. Click the option to download the application form. 5. Fill in the required details and attach the specified documents. 6. Submit the completed application form to the Jan Seva Kendra officials. 7. After submission, you will receive an acknowledgement/registration number. 8. You can use this registration number to track your application status online through the MP e-District portal. 9. If the application is approved, the ration card is stated to be issued within 30 working days. Documents mentioned: Address proof - electricity bill, telephone bill, water bill, etc. Identity proof - Voter ID, Passport, bank passbook copy, etc. Passport-size photograph. Documents/details relating to LPG connection. Family-member details. Family income details. Who can apply: people who don't already have a ration card, belong to economically weaker sections, have a temporary or expired ration card, are recently married couples in Madhya Pradesh."
"Food and Civil Supplies","How can I check my ration card details?","You can check your ration card details through the National Food Security Act (NFSA) official portal. 1. Open the ""My RC Details"" page. 2. Select the required Search Type. 3. Enter your Ration Card Number in the search field. 4. Enter the captcha code shown on the page. 5. Submit the search to retrieve your ration-card details. The Ration Card Number and captcha are mandatory, and the portal does not allow special characters in the search expression. Official page: NFSA - My RC Details, https://nfsa.gov.in/public/frmPublicGetMyRCDetails.aspx?utm_source=chatgpt.com"
"Food and Civil Supplies","How do I know if my ration card/Aadhaar e-KYC is completed?","Visit your Fair Price Shop (ration shop) and ask the FPS dealer to initiate e-KYC through the e-PoS device. If your Aadhaar is already seeded with your ration card, e-KYC can be initiated using fingerprint or IRIS biometric authentication. If Aadhaar is not seeded, it can be provisionally seeded after initiating e-KYC. If your biometric authentication succeeds, the e-PoS device can immediately show your photo and demographic details retrieved from UIDAI. Successful submission does not necessarily mean final approval. The e-KYC approval status is communicated to the beneficiary through SMS or another means. If your e-KYC fails, you are flagged for physical verification. The concerned officer compares the Aadhaar information retrieved from UIDAI with the information in the PDS/ration-card database. Matching cases can be marked ""e-KYC compliant"", while other cases are sent for physical verification."
"Food and Civil Supplies","Can I use my ration card if I am currently in another state?","Yes. Under the One Nation One Ration Card (ONORC) scheme, you can use your ration card to receive your entitled foodgrains from a Fair Price Shop even when you are in another state. This is useful for migrant workers and other beneficiaries who move from their home state to another state."
